app, category, time, week in calendar
Instagram, Social Media, 6.67, 41
Jodel, Social Media, 3.38, 41
LinkedIn, Social Media, 2.6, 41
WhatsApp, Instant Messaging, 3.05, 41
Signal, Instant Messaging, 0.91, 41
Safari, Browsing, 5.78, 41
ZDF Mediathek, News/ Entertainment, 0.8, 41
tagesschau.de, News/ Entertainment, 1.02, 41
Spiegel Online, News/ Entertainment, 0.35, 41
Instagram, Social Media, 6.0, 40
Jodel, Social Media, 3.08, 40
LinkedIn, Social Media, 1.17, 40
WhatsApp, Instant Messaging, 1.82, 40
Signal, Instant Messaging, 1.9, 40
Safari, Browsing, 5.88, 40
ZDF Mediathek, News/ Entertainment, 1.62, 40
tagesschau.de, News/ Entertainment, 1.52, 40
Spiegel Online, News/ Entertainment, 0.28, 40
Instagram, Social Media, 6.95, 39
Jodel, Social Media, 3.17, 39
LinkedIn, Social Media, 0.68, 39
WhatsApp, Instant Messaging, 2.0, 39
Signal, Instant Messaging, 1.98, 39
Safari, Browsing, 8.25, 39
ZDF Mediathek, News/ Entertainment, 0.5, 39
tagesschau.de, News/ Entertainment, 2.33, 39
Spiegel Online, News/ Entertainment, 0.22, 39
