app,category,amount,week
Instagram,SocialMedia,6.67,41
Jodel,SocialMedia,3.38,41
LinkedIn,SocialMedia,2.6,41
WhatsApp,InstantMessaging,3.05,41
Signal,InstantMessaging,0.91,41
Safari,Browsing,5.78,41
ZDFMediathek,News/Entertainment,0.8,41
tagesschau.de,News/Entertainment,1.02,41
SpiegelOnline,News/Entertainment,0.35,41
Instagram,SocialMedia,6.0,40
Jodel,SocialMedia,3.08,40
LinkedIn,SocialMedia,1.17,40
WhatsApp,InstantMessaging,1.82,40
Signal,InstantMessaging,1.9,40
Safari,Browsing,5.88,40
ZDFMediathek,News/Entertainment,1.62,40
tagesschau.de,News/Entertainment,1.52,40
SpiegelOnline,News/Entertainment,0.28,40
Instagram,SocialMedia,6.95,39
Jodel,SocialMedia,3.17,39
LinkedIn,SocialMedia,0.68,39
WhatsApp,InstantMessaging,2.0,39
Signal,InstantMessaging,1.98,39
Safari,Browsing,8.25,39
ZDFMediathek,News/Entertainment,0.5,39
tagesschau.de,News/Entertainment,2.33,39
SpiegelOnline,News/Entertainment,0.22,39
